OBJECTID,STD_ZIP5,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,LATITUDE,LONGITUDE,LAT,LON,x,y
1,00601,ADJUNTAS,PR,18.163995634,-66.71901754,18.164,-66.71902,-7427127.00189603,2056752.91544414
2,00602,AGUADA,PR,18.385289457,-67.18383896,18.38529,-67.18384,-7478870.62356395,2082695.75860247
3,00603,AGUADILLA,PR,18.450963623,-67.14491698,18.45096,-67.14492,-7474538.34260559,2090401.24104413
4,00606,MARICAO,PR,18.191914026,-66.98321853,18.19191,-66.98322,-7456537.42245443,2060023.96888741
5,00610,ANASCO,PR,18.284549801,-67.1468618,18.28455,-67.14686,-7474754.06486193,2070881.62609494
6,00612,ARECIBO,PR,18.458300705,-66.72156163,18.4583,-66.72157,-7427410.66822621,2091262.33784649
7,00616,BAJADERO,PR,18.445186396,-66.61916958,18.44519,-66.61917,-7416012.2087087,2089723.26790154
8,00617,BARCELONETA,PR,18.437663322,-66.54876757,18.43766,-66.54877,-7408174.86537896,2088840.5268745
9,00622,BOQUERON,PR,18.0329,-67.1289,18.0329,-67.1289,-7472754.812003,2041399.77457809
10,00623,CABO ROJO,PR,18.081159228,-67.15756083,18.08116,-67.15756,-7475945.63325548,2047050.32204332
11,00624,PENUELAS,PR,18.042847459,-66.72388142,18.04285,-66.72388,-7427668.85552871,2042564.28306266
12,00627,CAMUY,PR,18.473538058,-66.84395819,18.47354,-66.84396,-7441035.14386006,2093050.45686209
13,00637,SABANA GRANDE,PR,18.07097955,-66.94991148,18.07098,-66.94991,-7452830.22659695,2045858.31188087
14,00638,CIALES,PR,18.315388686,-66.4704764,18.31539,-66.47047,-7399459.34551816,2074497.58513638
15,00641,UTUADO,PR,18.254751029,-66.69833516,18.25475,-66.69833,-7424824.54869661,2067388.3827346
16,00646,DORADO,PR,18.446406012,-66.27933181,18.44641,-66.27934,-7378181.82476582,2089866.29172768
17,00647,ENSENADA,PR,17.963455666,-66.93785092,17.96346,-66.93785,-7451487.48277268,2033271.48314108
18,00650,FLORIDA,PR,18.379790292,-66.58516316,18.37979,-66.58517,-7412226.87714403,2082050.48615471
19,00652,GARROCHALES,PR,18.46747026,-66.61530519,18.46747,-66.6153,-7415581.6134524,2092338.36891485
20,00653,GUANICA,PR,17.973403906,-66.90653706,17.9734,-66.90654,-7448001.95430027,2034435.75632359
21,00656,GUAYANILLA,PR,18.019550746,-66.78895216,18.01955,-66.78896,-7434912.53780267,2039837.00254273
22,00659,HATILLO,PR,18.479034382,-66.81207398,18.47903,-66.81207,-7437485.91781842,2093695.63345585
23,00660,HORMIGUEROS,PR,18.138082534,-67.12310354,18.13808,-67.1231,-7472109.34374675,2053717.20568787
24,00662,ISABELA,PR,18.481670447,-67.02573925,18.48167,-67.02574,-7461271.42239318,2094005.02111194
25,00664,JAYUYA,PR,18.224168869,-66.59097158,18.22417,-66.59097,-7412873.19465667,2063803.86441218
26,00667,LAJAS,PR,18.04785348,-67.05742437,18.04785,-67.05743,-7464798.56665535,2043150.46995453
27,00669,LARES,PR,18.294540771,-66.88201205,18.29454,-66.88201,-7445271.45383639,2072052.95726405
28,00670,LAS MARIAS,PR,18.258828113,-66.99085608,18.25883,-66.99085,-7457387.57207729,2067866.1723949
29,00674,MANATI,PR,18.430966057,-66.48067651,18.43097,-66.48067,-7400594.86009532,2088054.50810212
30,00676,MOCA,PR,18.394362819,-67.11356206,18.39436,-67.11356,-7471047.71837216,2083760.14499211
31,00677,RINCON,PR,18.337566605,-67.24385005,18.33757,-67.24385,-7485551.21979346,2077098.19091241
32,00678,QUEBRADILLAS,PR,18.468057359,-66.93327591,18.46806,-66.93327,-7450977.9025528,2092407.31561188
33,00680,MAYAGUEZ,PR,18.18961331,-67.13711104,18.18961,-67.13711,-7473668.65908377,2059754.43407585
34,00682,MAYAGUEZ,PR,18.205773675,-67.17393124,18.20577,-67.17393,-7477768.23176732,2061648.18094234
35,00683,SAN GERMAN,PR,18.085389769,-67.04268274,18.08539,-67.04269,-7463157.71836293,2047545.72897969
36,00685,SAN SEBASTIAN,PR,18.330220992,-66.99321915,18.33022,-66.99322,-7457650.8551408,2076236.80254106
37,00687,MOROVIS,PR,18.342759428,-66.41566792,18.34276,-66.41566,-7393357.97209517,2077707.29122943
38,00688,SABANA HOYOS,PR,18.3613,-66.6224,18.3613,-66.6224,-7416371.46264293,2079881.6805823
39,00690,SAN ANTONIO,PR,18.493962254,-67.09974146,18.49396,-67.09974,-7469508.78619052,2095447.69885311
